day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7594201564788818,-0.004667703527957201,temperature,850,ground_truth
2,8,48.0,2.0,0.9688599705696106,-0.06440383940935135,temperature,850,ground_truth
3,12,72.0,3.0,1.1502437591552734,-0.07669299840927124,temperature,850,ground_truth
4,16,96.0,4.0,1.3666754961013794,-0.12221453338861465,temperature,850,ground_truth
5,20,120.0,5.0,1.5952239036560059,-0.14571695029735565,temperature,850,ground_truth
6,24,144.0,6.0,1.8470479249954224,-0.12267285585403442,temperature,850,ground_truth
7,28,168.0,7.0,2.0997941493988037,-0.15847428143024445,temperature,850,ground_truth
8,32,192.0,8.0,2.5248968601226807,-0.12061531841754913,temperature,850,ground_truth
9,36,216.0,9.0,2.8177950382232666,-0.1886705607175827,temperature,850,ground_truth
10,40,240.0,10.0,3.0521230697631836,-0.16758623719215393,temperature,850,ground_truth
