day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7412275075912476,-0.038955893367528915,temperature,850,ground_truth
2,8,48.0,2.0,0.9629982709884644,-0.07914476841688156,temperature,850,ground_truth
3,12,72.0,3.0,1.2137031555175781,-0.08672285079956055,temperature,850,ground_truth
4,16,96.0,4.0,1.4529521465301514,-0.09307471662759781,temperature,850,ground_truth
5,20,120.0,5.0,1.7060734033584595,-0.12684978544712067,temperature,850,ground_truth
6,24,144.0,6.0,2.043499708175659,-0.10198204964399338,temperature,850,ground_truth
7,28,168.0,7.0,2.3520476818084717,-0.15194061398506165,temperature,850,ground_truth
8,32,192.0,8.0,2.6729273796081543,-0.11962217837572098,temperature,850,ground_truth
9,36,216.0,9.0,2.851198434829712,-0.07626774907112122,temperature,850,ground_truth
10,40,240.0,10.0,3.178284168243408,-0.13662584125995636,temperature,850,ground_truth
