day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7344960570335388,-0.006894338876008987,temperature,850,ground_truth
2,8,48.0,2.0,0.9655035138130188,-0.03279906138777733,temperature,850,ground_truth
3,12,72.0,3.0,1.1823580265045166,-0.058496057987213135,temperature,850,ground_truth
4,16,96.0,4.0,1.4774521589279175,-0.05885094776749611,temperature,850,ground_truth
5,20,120.0,5.0,1.8856141567230225,-0.058699384331703186,temperature,850,ground_truth
6,24,144.0,6.0,2.215968608856201,-0.06948890537023544,temperature,850,ground_truth
7,28,168.0,7.0,2.317056655883789,-0.08095518499612808,temperature,850,ground_truth
8,32,192.0,8.0,2.5442378520965576,-0.14039121568202972,temperature,850,ground_truth
9,36,216.0,9.0,2.7101261615753174,-0.21254947781562805,temperature,850,ground_truth
10,40,240.0,10.0,3.078357458114624,-0.09907481074333191,temperature,850,ground_truth
