step,lead_hours,lead_day,t2m_rmse_k,t2m_mean_bias_k,reference,n_init
1,0.0,0.0,0.5243733177582423,0.0029579768888652325,ground_truth_yearmean,6
2,24.0,1.0,0.6804188589255015,-0.04818694107234478,ground_truth_yearmean,6
3,48.0,2.0,0.8098353346188863,-0.05640736020480593,ground_truth_yearmean,6
4,72.0,3.0,1.0346992413202922,-0.0681406253327926,ground_truth_yearmean,6
5,96.0,4.0,1.20589546362559,-0.050390156296392284,ground_truth_yearmean,6
6,120.0,5.0,1.4669852256774902,-0.09194307502669592,ground_truth_yearmean,6
7,144.0,6.0,1.7847689787546794,-0.07886454090476036,ground_truth_yearmean,6
8,168.0,7.0,2.2624632517496743,-0.06852969713509083,ground_truth_yearmean,6
9,192.0,8.0,2.500211477279663,-0.045834899259110294,ground_truth_yearmean,6
10,216.0,9.0,2.6284199555714927,-0.08151192458656926,ground_truth_yearmean,6
11,240.0,10.0,2.732495347658793,-0.07254787581041455,ground_truth_yearmean,6
