day,step,lead_hours,lead_day,temperature_850hPa_rmse_k,temperature_850hPa_mean_bias_k,metric_variable,metric_level_hpa,reference
1,4,24.0,1.0,0.7448757886886597,-0.057721637189388275,temperature,850,ground_truth
2,8,48.0,2.0,0.9565403461456299,-0.0752006322145462,temperature,850,ground_truth
3,12,72.0,3.0,1.1332980394363403,-0.057735852897167206,temperature,850,ground_truth
4,16,96.0,4.0,1.349326729774475,-0.05149500072002411,temperature,850,ground_truth
5,20,120.0,5.0,1.6437225341796875,-0.06593785434961319,temperature,850,ground_truth
6,24,144.0,6.0,1.9395138025283813,-0.07175368070602417,temperature,850,ground_truth
7,28,168.0,7.0,2.4940967559814453,-0.16325967013835907,temperature,850,ground_truth
8,32,192.0,8.0,2.86354398727417,-0.20798225700855255,temperature,850,ground_truth
9,36,216.0,9.0,3.403317928314209,-0.18801440298557281,temperature,850,ground_truth
10,40,240.0,10.0,3.7983598709106445,-0.2834799587726593,temperature,850,ground_truth
